dato,defensiv,offensiv
2003-01-02,51.90003204345703,59.3289909362793
2003-01-03,51.90636444091797,59.511383056640625
2003-01-06,51.874752044677734,60.56028747558594
2003-01-07,51.912689208984375,60.41044235229492
2003-01-08,51.95700454711914,59.537437438964844
2003-01-09,51.86207580566406,60.462554931640625
2003-01-10,51.93166732788086,60.625404357910156
2003-01-13,51.919002532958984,60.605857849121094
2003-01-14,51.93800735473633,60.80128479003906
2003-01-15,51.95700454711914,60.19548034667969
2003-01-16,51.98863220214844,59.94788360595703
2003-01-17,51.97600173950195,59.06190872192383
2003-01-21,52.03925704956055,58.14332962036133
2003-01-22,52.07728958129883,57.439762115478516
2003-01-23,52.045597076416016,57.79155349731445
2003-01-24,52.03925704956055,56.27363967895508
2003-01-27,52.03925704956055,55.5048828125
2003-01-28,52.05193328857422,55.91533660888672
2003-01-29,52.00760269165039,56.33876419067383
2003-01-30,52.0709228515625,55.00326156616211
2003-01-31,52.05827713012695,56.06513977050781
2003-02-03,52.02784729003906,56.17591094970703
2003-02-04,52.08491516113281,55.62210464477539
2003-02-05,52.06583786010742,55.27688217163086
2003-02-06,52.0911750793457,55.01628112792969
2003-02-07,52.13557434082031,54.34528732299805
2003-02-10,52.097572326660156,54.72962188720703
2003-02-11,52.116554260253906,54.35179901123047
2003-02-12,52.16093063354492,53.485347747802734
2003-02-13,52.205299377441406,53.648189544677734
2003-02-14,52.16093063354492,54.82085418701172
2003-02-18,52.14196014404297,55.78501892089844
2003-02-19,52.167301177978516,55.491859436035156
2003-02-20,52.19898223876953,54.938106536865234
2003-02-21,52.15458297729492,55.491859436035156
2003-02-24,52.18000030517578,54.59282684326172
2003-02-25,52.21164321899414,55.02930450439453
2003-02-26,52.23701095581055,54.227989196777344
2003-02-27,52.23701095581055,54.94459915161133
2003-02-28,52.262367248535156,55.30946350097656
2003-03-03,52.27949905395508,54.78173828125
2003-03-04,52.273162841796875,53.90879440307617
2003-03-05,52.31758117675781,54.36481475830078
2003-03-06,52.33665084838867,53.90879440307617
2003-03-07,52.387413024902344,54.2801399230957
2003-03-10,52.43816375732422,52.977203369140625
2003-03-11,52.393741607666016,52.456031799316406
2003-03-12,52.35566711425781,52.80780792236328
2003-03-13,52.19698715209961,54.63195037841797
2003-03-14,52.24778366088867,54.807804107666016
2003-03-17,52.18427276611328,56.53422546386719
2003-03-18,52.13987731933594,56.866458892822266
2003-03-19,52.127227783203125,57.302921295166016
2003-03-20,52.190650939941406,57.42671585083008
2003-03-21,52.05735778808594,58.65248107910156
2003-03-24,52.17158889770508,56.70330047607422
2003-03-25,52.17158889770508,57.24617385864258
2003-03-26,52.23509216308594,56.95836639404297
2003-03-27,52.24778366088867,57.00416946411133
2003-03-28,52.31758117675781,56.716331481933594
2003-03-31,52.35566711425781,55.42780685424805
2003-04-01,52.3442268371582,56.278114318847656
2003-04-02,52.287044525146484,57.63861846923828
2003-04-03,52.318817138671875,57.36393356323242
2003-04-04,52.30611038208008,57.70402145385742
2003-04-07,52.274295806884766,57.592872619628906
2003-04-08,52.325191497802734,57.68442153930664
2003-04-09,52.356937408447266,56.925697326660156
2003-04-10,52.287044525146484,57.23963928222656
2003-04-11,52.261600494384766,57.00416946411133
2003-04-14,52.21711349487305,58.18152618408203
2003-04-15,52.25522994995117,58.72444152832031
2003-04-16,52.261600494384766,57.72367858886719
2003-04-17,52.21711349487305,58.5805549621582
2003-04-21,52.2488899230957,58.63938522338867
2003-04-22,52.24251937866211,59.74481964111328
2003-04-23,52.28068542480469,60.29424285888672
2003-04-24,52.33152770996094,59.75789260864258
2003-04-25,52.38236618041992,59.018798828125
2003-04-28,52.36965560913086,60.0391731262207
2003-04-29,52.33152770996094,60.24848937988281
2003-04-30,52.43953323364258,60.11764907836914
2003-05-01,52.439517974853516,60.111087799072266
2003-05-02,52.38224411010742,60.967952728271484
2003-05-05,52.42046356201172,60.8502197265625
2003-05-06,52.49686050415039,61.42586135864258
2003-05-07,52.509578704833984,61.08572769165039
2003-05-08,52.484107971191406,60.47086715698242
2003-05-09,52.471370697021484,61.3081169128418
2003-05-12,52.509578704833984,62.0603141784668
2003-05-13,52.49686050415039,61.949092864990234
2003-05-14,52.5286865234375,61.81829833984375
2003-05-15,52.509578704833984,62.21075439453125
2003-05-16,52.566864013671875,62.05375289916992
2003-05-19,52.57960510253906,60.6016960144043
2003-05-20,52.64965057373047,60.47740936279297
2003-05-21,52.57960510253906,60.6016960144043
2003-05-22,52.59872817993164,61.20344543457031
2003-05-23,52.61777114868164,61.327693939208984
2003-05-27,52.59872817993164,62.40043258666992
2003-05-28,52.63053894042969,62.57704544067383
2003-05-29,52.64965057373047,62.41351318359375
2003-05-30,52.63053894042969,63.41426467895508
2003-06-02,52.60311508178711,63.67591857910156
2003-06-03,52.705108642578125,63.937522888183594
2003-06-04,52.74972152709961,64.85983276367188
2003-06-05,52.717857360839844,65.1803207397461
2003-06-06,52.705108642578125,64.92522430419922
2003-06-09,52.77518844604492,64.26455688476562
2003-06-10,52.83256912231445,64.91871643066406
2003-06-11,52.79438018798828,65.6054916381836
2003-06-12,52.826210021972656,65.80826568603516
2003-06-13,52.87082290649414,65.12144470214844
2003-06-16,52.80710983276367,66.49506378173828
2003-06-17,52.7305908203125,66.49506378173828
2003-06-18,52.73695373535156,66.4361801147461
2003-06-19,52.7879524230957,65.42231750488281
2003-06-20,52.77518844604492,65.27792358398438
2003-06-23,52.826210021972656,64.60835266113281
2003-06-24,52.86446762084961,64.67396545410156
2003-06-25,52.75609588623047,64.0240707397461
2003-06-26,52.66048812866211,64.85782623291016
2003-06-27,52.67322540283203,64.10940551757812
2003-06-30,52.717857360839844,64.0897216796875
2003-07-01,52.719093322753906,64.68053436279297
2003-07-02,52.74467849731445,65.49453735351562
2003-07-03,52.687217712402344,64.81838989257812
2003-07-07,52.6744499206543,66.10506439208984
2003-07-08,52.65531539916992,66.40046691894531
2003-07-09,52.66807174682617,66.02628326416016
2003-07-10,52.712738037109375,65.18600463867188
2003-07-11,52.731937408447266,65.8030776977539
2003-07-14,52.687217712402344,66.1247329711914
2003-07-15,52.62345504760742,65.98033905029297
2003-07-16,52.629756927490234,65.59300994873047
2003-07-17,52.59789276123047,64.66084289550781
2003-07-18,52.59148025512695,65.32388305664062
2003-07-21,52.50215530395508,64.51641082763672
2003-07-22,52.55319595336914,65.1007080078125
2003-07-23,52.57876968383789,65.1466064453125
2003-07-24,52.57229995727539,64.65428161621094
2003-07-25,52.59789276123047,65.79655456542969
2003-07-28,52.52767562866211,65.55362701416016
2003-07-29,52.48299789428711,65.25165557861328
2003-07-30,52.508506774902344,65.09412384033203
2003-07-31,52.451114654541016,65.24508666992188
2003-08-01,52.39487075805664,64.66741180419922
2003-08-04,52.47789764404297,64.66741180419922
2003-08-05,52.382076263427734,63.295448303222656
2003-08-06,52.43320083618164,63.66304397583008
2003-08-07,52.490699768066406,64.33263397216797
2003-08-08,52.50350570678711,64.51641082763672
2003-08-11,52.43320083618164,64.75932312011719
2003-08-12,52.52264404296875,65.35016632080078
2003-08-13,52.420406341552734,65.01535034179688
2003-08-14,52.407649993896484,65.19257354736328
2003-08-15,52.44599533081055,65.39608764648438
2003-08-18,52.43960952758789,65.96063232421875
2003-08-19,52.50350570678711,66.2100601196289
2003-08-20,52.465152740478516,65.94092559814453
2003-08-21,52.38846206665039,66.1510009765625
2003-08-22,52.375709533691406,65.49453735351562
2003-08-25,52.350162506103516,65.5995864868164
2003-08-26,52.407649993896484,65.71774291992188
2003-08-27,52.35654067993164,65.73744201660156
2003-08-28,52.43320083618164,66.1444091796875
2003-08-29,52.42681121826172,66.59080505371094
2003-09-02,52.35832595825195,67.4836654663086
2003-09-03,52.3967399597168,67.8512191772461
2003-09-04,52.46712112426758,67.88404083251953
2003-09-05,52.64622497558594,67.50331115722656
2003-09-08,52.5822868347168,68.06130981445312
2003-09-09,52.671836853027344,67.61489868164062
2003-09-10,52.70380783081055,66.9322280883789
2003-09-11,52.66545486450195,67.12911987304688
2003-09-12,52.71024703979492,67.25386047363281
2003-09-15,52.76141357421875,67.01751708984375
2003-09-16,52.76776885986328,67.99567413330078
2003-09-17,52.76141357421875,67.86434936523438
2003-09-18,52.71024703979492,68.66524505615234
2003-09-19,52.71024703979492,68.31600189208984
2003-09-22,52.72943878173828,67.57791137695312
2003-09-23,52.7421875,67.83493041992188
2003-09-24,52.77417755126953,66.62895965576172
2003-09-25,52.78062438964844,66.08203887939453
2003-09-26,52.84455871582031,65.86459350585938
2003-09-29,52.81898880004883,66.5103759765625
2003-09-30,52.927734375,65.86459350585938
2003-10-01,52.93607711791992,67.2681884765625
2003-10-02,52.93607711791992,67.51202392578125
2003-10-03,52.80152893066406,68.13143920898438
2003-10-06,52.83999252319336,68.4411849975586
2003-10-07,52.78879165649414,68.70476531982422
2003-10-08,52.78879165649414,68.53341674804688
2003-10-09,52.78236770629883,68.71797180175781
2003-10-10,52.81439971923828,68.90906524658203
2003-10-13,52.820770263671875,69.12651824951172
2003-10-14,52.769535064697266,69.37034606933594
2003-10-15,52.70551300048828,69.18584442138672
2003-10-16,52.583858489990234,69.46258544921875
2003-10-17,52.64785385131836,68.70476531982422
2003-10-20,52.65424728393555,69.21879577636719
2003-10-21,52.667083740234375,69.10012817382812
2003-10-22,52.72469711303711,68.23033142089844
2003-10-23,52.71190643310547,68.10513305664062
2003-10-24,52.775943756103516,68.25672149658203
